date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-07,Home/Away,tour,Away,E. Shibahara vs D. Vidmanova,1.6996,0.0427,Betway,1.65,-0.02917,true
2025-09-07,Home/Away (1st Set),tour,Home,E. Shibahara vs D. Vidmanova,2.3274,0.0437,10Bet,2.25,-0.03325,false
2025-09-07,Home/Away (1st Set),tour,Away,E. Shibahara vs D. Vidmanova,1.7534,0.0437,1xBet,1.66,-0.05325,true
2025-09-07,Home/Away,tour,Home,A. Smith vs E. Pridankina,3.3676,0.0459,Unibet,3.3,-0.02009,false
2025-09-07,Home/Away,tour,Away,A. Smith vs E. Pridankina,1.4224,0.0459,Betway,1.38,-0.02978,true
2025-09-07,Home/Away (1st Set),tour,Home,A. Smith vs E. Pridankina,2.8844,0.0413,WilliamHill,2.75,-0.04658,false
2025-09-07,Home/Away (1st Set),tour,Away,A. Smith vs E. Pridankina,1.5307,0.0413,1xBet,1.47,-0.03965,true
2025-09-07,Home/Away,tour,Home,L. Stefanini vs A. Kulikova,1.2754,0.0454,bet365,1.28,0.00361,true
2025-09-07,Home/Away,tour,Away,L. Stefanini vs A. Kulikova,4.6311,0.0454,Betway,4.25,-0.0823,false
2025-09-07,Home/Away (1st Set),tour,Home,L. Stefanini vs A. Kulikova,1.39,0.0451,1xBet,1.37,-0.01441,true
2025-09-07,Home/Away (1st Set),tour,Away,L. Stefanini vs A. Kulikova,3.5639,0.0451,Betway,3.5,-0.01793,false
2025-09-07,Home/Away,tour,Home,A. Herrero Linana vs M. Okalova,1.7422,0.0432,Unibet,1.77,0.01594,false
2025-09-07,Home/Away,tour,Away,A. Herrero Linana vs M. Okalova,2.3473,0.0432,Superbet,2.32,-0.01163,true
2025-09-07,Home/Away (1st Set),tour,Home,A. Herrero Linana vs M. Okalova,1.8216,0.0409,Marathon,1.76,-0.03381,false
2025-09-07,Home/Away (1st Set),tour,Away,A. Herrero Linana vs M. Okalova,2.2171,0.0409,bet365,2.2,-0.00773,true
2025-09-07,Home/Away,tour,Home,Y. Mansouri vs T. Pedretti,2.2807,0.0414,Betway,2.2,-0.03538,true
2025-09-07,Home/Away,tour,Away,Y. Mansouri vs T. Pedretti,1.7808,0.0414,1xBet,1.78,-0.00046,false
2025-09-07,Home/Away (1st Set),tour,Home,Y. Mansouri vs T. Pedretti,2.1808,0.0434,Betfair,2.1,-0.03705,true
2025-09-07,Home/Away (1st Set),tour,Away,Y. Mansouri vs T. Pedretti,1.8469,0.0434,1xBet,1.82,-0.01456,false
2025-09-07,Home/Away,tour,Home,L. Tran vs M. Tona,1.6087,0.0446,WilliamHill,1.53,-0.04892,false
2025-09-07,Home/Away,tour,Away,L. Tran vs M. Tona,2.6429,0.0446,Betway,2.75,0.04054,true
2025-09-07,Home/Away (1st Set),tour,Home,L. Tran vs M. Tona,1.6723,0.0452,1xBet,1.61,-0.03724,false
2025-09-07,Home/Away (1st Set),tour,Away,L. Tran vs M. Tona,2.4875,0.0452,bwin,2.3,-0.07538,true
2025-09-08,Home/Away,tour,Home,K. Kawa vs I. Jovic,6.5913,0.0251,bet365,6,-0.08971,false
2025-09-08,Home/Away,tour,Away,K. Kawa vs I. Jovic,1.1788,0.0251,WilliamHill,1.17,-0.00751,true
2025-09-08,Home/Away (1st Set),tour,Home,K. Kawa vs I. Jovic,4.5772,0.0403,bet365,4.5,-0.01687,false
2025-09-08,Home/Away (1st Set),tour,Away,K. Kawa vs I. Jovic,1.2795,0.0403,1xBet,1.27,-0.00746,true
2025-09-08,Home/Away,tour,Home,A. Hartono vs S. Sierra,4.3333,0.0317,Marathon,4.7,0.08462,false
2025-09-08,Home/Away,tour,Away,A. Hartono vs S. Sierra,1.3,0.0317,Fonbet,1.3,0,true
2025-09-08,Home/Away (1st Set),tour,Home,A. Hartono vs S. Sierra,3.3043,0.0391,WilliamHill,3.25,-0.01645,false
2025-09-08,Home/Away (1st Set),tour,Away,A. Hartono vs S. Sierra,1.434,0.0391,188bet,1.38,-0.03763,true
2025-09-08,Home/Away,tour,Home,L. Jeanjean vs J. Tjen,3.5333,0.0331,WilliamHill,3.5,-0.00943,false
2025-09-08,Home/Away,tour,Away,L. Jeanjean vs J. Tjen,1.3947,0.0331,Unibet,1.35,-0.03208,true
2025-09-08,Home/Away (1st Set),tour,Home,L. Jeanjean vs J. Tjen,3.156,0.0382,bet365,3.2,0.01393,false
2025-09-08,Home/Away (1st Set),tour,Away,L. Jeanjean vs J. Tjen,1.4638,0.0382,Marathon,1.42,-0.02993,true
2025-09-08,Home/Away,tour,Home,J. Riera vs V. Diatchenko,1.7748,0.0318,1xBet,1.74,-0.01959,true
2025-09-08,Home/Away,tour,Away,J. Riera vs V. Diatchenko,2.2907,0.0318,Marathon,2.22,-0.03086,false
2025-09-08,Home/Away (1st Set),tour,Home,J. Riera vs V. Diatchenko,1.8878,0.0373,188bet,1.78,-0.05711,true
2025-09-08,Home/Away (1st Set),tour,Away,J. Riera vs V. Diatchenko,2.1264,0.0373,WilliamHill,2.1,-0.0124,false
